								
Compare cell means regardless of rows and columns								
								
Number of families	1							
Number of comparisons per family	528							
Alpha	0/05							
								
Tukey's multiple comparisons test	Mean Diff/	95/00% CI of diff/	Significant?	Summary	Adjusted P Value			
  0:72h vs. 40:48h	-9/231	-124/8 to 106/4	No	ns	>0/9999			
  0:72h vs. 40:72h	-17/65	-133/2 to 97/95	No	ns	>0/9999			
  0:72h vs. 50:24h	-5/172	-120/8 to 110/4	No	ns	>0/9999			
  0:72h vs. 50:48h	-7/692	-123/3 to 107/9	No	ns	>0/9999			
  0:72h vs. 50:72h	-14/71	-130/3 to 100/9	No	ns	>0/9999			
  0:72h vs. 60:24h	-3/448	-119/0 to 112/1	No	ns	>0/9999			
  0:72h vs. 60:48h	-7/692	-123/3 to 107/9	No	ns	>0/9999			
  0:72h vs. 60:72h	-10/29	-125/9 to 105/3	No	ns	>0/9999			
  0:72h vs. 70:24h	-2/000e-005	-115/6 to 115/6	No	ns	>0/9999			
  0:72h vs. 70:48h	-4/615	-120/2 to 111/0	No	ns	>0/9999			
  0:72h vs. 70:72h	-7/353	-122/9 to 108/2	No	ns	>0/9999			
  0:72h vs. 80:24h	1/724	-113/9 to 117/3	No	ns	>0/9999			
  0:72h vs. 80:48h	-6/154	-121/7 to 109/4	No	ns	>0/9999			
  0:72h vs. 80:72h	-7/353	-122/9 to 108/2	No	ns	>0/9999			
  0:72h vs. 90:24h	-2/000e-005	-115/6 to 115/6	No	ns	>0/9999			
  0:72h vs. 90:48h	-4/615	-120/2 to 111/0	No	ns	>0/9999			
  0:72h vs. 90:72h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  0:72h vs. 100:24h	-2/000e-005	-115/6 to 115/6	No	ns	>0/9999			
  0:72h vs. 100:48h	-1/538	-117/1 to 114/1	No	ns	>0/9999			
  0:72h vs. 100:72h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  10:24h vs. 10:48h	-3/687	-119/3 to 111/9	No	ns	>0/9999			
  10:24h vs. 10:72h	-22/26	-137/9 to 93/33	No	ns	>0/9999			
  10:24h vs. 20:24h	3/448	-112/1 to 119/0	No	ns	>0/9999			
  10:24h vs. 20:48h	-3/687	-119/3 to 111/9	No	ns	>0/9999			
  10:24h vs. 20:72h	-19/32	-134/9 to 96/27	No	ns	>0/9999			
  10:24h vs. 30:24h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  10:24h vs. 30:48h	-3/687	-119/3 to 111/9	No	ns	>0/9999			
  10:24h vs. 30:72h	-9/026	-124/6 to 106/6	No	ns	>0/9999			
  10:24h vs. 40:24h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  10:24h vs. 40:48h	-0/6101	-116/2 to 115/0	No	ns	>0/9999			
  10:24h vs. 40:72h	-9/026	-124/6 to 106/6	No	ns	>0/9999			
  10:24h vs. 50:24h	3/448	-112/1 to 119/0	No	ns	>0/9999			
  10:24h vs. 50:48h	0/9284	-114/7 to 116/5	No	ns	>0/9999			
  10:24h vs. 50:72h	-6/085	-121/7 to 109/5	No	ns	>0/9999			
  10:24h vs. 60:24h	5/172	-110/4 to 120/8	No	ns	>0/9999			
  10:24h vs. 60:48h	0/9284	-114/7 to 116/5	No	ns	>0/9999			
  10:24h vs. 60:72h	-1/673	-117/3 to 113/9	No	ns	>0/9999			
  10:24h vs. 70:24h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  10:24h vs. 70:48h	4/005	-111/6 to 119/6	No	ns	>0/9999			
  10:24h vs. 70:72h	1/268	-114/3 to 116/9	No	ns	>0/9999			
  10:24h vs. 80:24h	10/34	-105/2 to 125/9	No	ns	>0/9999			
