								
Compare cell means regardless of rows and columns								
								
Number of families	1							
Number of comparisons per family	528							
Alpha	0/05							
								
Tukey's multiple comparisons test	Mean Diff/	95/00% CI of diff/	Significant?	Summary	Adjusted P Value			
  40:24h vs. 50:48h	0/9284	-114/7 to 116/5	No	ns	>0/9999			
  40:24h vs. 50:72h	-6/085	-121/7 to 109/5	No	ns	>0/9999			
  40:24h vs. 60:24h	5/172	-110/4 to 120/8	No	ns	>0/9999			
  40:24h vs. 60:48h	0/9284	-114/7 to 116/5	No	ns	>0/9999			
  40:24h vs. 60:72h	-1/673	-117/3 to 113/9	No	ns	>0/9999			
  40:24h vs. 70:24h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  40:24h vs. 70:48h	4/005	-111/6 to 119/6	No	ns	>0/9999			
  40:24h vs. 70:72h	1/268	-114/3 to 116/9	No	ns	>0/9999			
  40:24h vs. 80:24h	10/34	-105/2 to 125/9	No	ns	>0/9999			
  40:24h vs. 80:48h	2/467	-113/1 to 118/1	No	ns	>0/9999			
  40:24h vs. 80:72h	1/268	-114/3 to 116/9	No	ns	>0/9999			
  40:24h vs. 90:24h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  40:24h vs. 90:48h	4/005	-111/6 to 119/6	No	ns	>0/9999			
  40:24h vs. 90:72h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  40:24h vs. 100:24h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  40:24h vs. 100:48h	7/082	-108/5 to 122/7	No	ns	>0/9999			
  40:24h vs. 100:72h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  40:48h vs. 40:72h	-8/416	-124/0 to 107/2	No	ns	>0/9999			
  40:48h vs. 50:24h	4/058	-111/5 to 119/7	No	ns	>0/9999			
  40:48h vs. 50:48h	1/538	-114/1 to 117/1	No	ns	>0/9999			
  40:48h vs. 50:72h	-5/475	-121/1 to 110/1	No	ns	>0/9999			
  40:48h vs. 60:24h	5/782	-109/8 to 121/4	No	ns	>0/9999			
  40:48h vs. 60:48h	1/538	-114/1 to 117/1	No	ns	>0/9999			
  40:48h vs. 60:72h	-1/063	-116/7 to 114/5	No	ns	>0/9999			
  40:48h vs. 70:24h	9/231	-106/4 to 124/8	No	ns	>0/9999			
  40:48h vs. 70:48h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  40:48h vs. 70:72h	1/878	-113/7 to 117/5	No	ns	>0/9999			
  40:48h vs. 80:24h	10/95	-104/6 to 126/5	No	ns	>0/9999			
  40:48h vs. 80:48h	3/077	-112/5 to 118/7	No	ns	>0/9999			
  40:48h vs. 80:72h	1/878	-113/7 to 117/5	No	ns	>0/9999			
  40:48h vs. 90:24h	9/231	-106/4 to 124/8	No	ns	>0/9999			
  40:48h vs. 90:48h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  40:48h vs. 90:72h	9/231	-106/4 to 124/8	No	ns	>0/9999			
  40:48h vs. 100:24h	9/231	-106/4 to 124/8	No	ns	>0/9999			
  40:48h vs. 100:48h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  40:48h vs. 100:72h	9/231	-106/4 to 124/8	No	ns	>0/9999			
  40:72h vs. 50:24h	12/47	-103/1 to 128/1	No	ns	>0/9999			
  40:72h vs. 50:48h	9/955	-105/6 to 125/5	No	ns	>0/9999			
  40:72h vs. 50:72h	2/941	-112/7 to 118/5	No	ns	>0/9999			
  40:72h vs. 60:24h	14/20	-101/4 to 129/8	No	ns	>0/9999			
  40:72h vs. 60:48h	9/955	-105/6 to 125/5	No	ns	>0/9999			
  40:72h vs. 60:72h	7/353	-108/2 to 122/9	No	ns	>0/9999			
  40:72h vs. 70:24h	17/65	-97/95 to 133/2	No	ns	>0/9999			
  40:72h vs. 70:48h	13/03	-102/6 to 128/6	No	ns	>0/9999			
  40:72h vs. 70:72h	10/29	-105/3 to 125/9	No	ns	>0/9999			
  40:72h vs. 80:24h	19/37	-96/22 to 135/0	No	ns	>0/9999			
  40:72h vs. 80:48h	11/49	-104/1 to 127/1	No	ns	>0/9999			
  40:72h vs. 80:72h	10/29	-105/3 to 125/9	No	ns	>0/9999			
  40:72h vs. 90:24h	17/65	-97/95 to 133/2	No	ns	>0/9999			
  40:72h vs. 90:48h	13/03	-102/6 to 128/6	No	ns	>0/9999			
  40:72h vs. 90:72h	17/65	-97/95 to 133/2	No	ns	>0/9999			
  40:72h vs. 100:24h	17/65	-97/95 to 133/2	No	ns	>0/9999			
  40:72h vs. 100:48h	16/11	-99/49 to 131/7	No	ns	>0/9999			
  40:72h vs. 100:72h	17/65	-97/95 to 133/2	No	ns	>0/9999			
  50:24h vs. 50:48h	-2/520	-118/1 to 113/1	No	ns	>0/9999			
  50:24h vs. 50:72h	-9/533	-125/1 to 106/1	No	ns	>0/9999			
  50:24h vs. 60:24h	1/724	-113/9 to 117/3	No	ns	>0/9999			
  50:24h vs. 60:48h	-2/520	-118/1 to 113/1	No	ns	>0/9999			
  50:24h vs. 60:72h	-5/122	-120/7 to 110/5	No	ns	>0/9999			
  50:24h vs. 70:24h	5/172	-110/4 to 120/8	No	ns	>0/9999			
  50:24h vs. 70:48h	0/5570	-115/0 to 116/2	No	ns	>0/9999			
  50:24h vs. 70:72h	-2/181	-117/8 to 113/4	No	ns	>0/9999			
  50:24h vs. 80:24h	6/897	-108/7 to 122/5	No	ns	>0/9999			
  50:24h vs. 80:48h	-0/9814	-116/6 to 114/6	No	ns	>0/9999			
  50:24h vs. 80:72h	-2/181	-117/8 to 113/4	No	ns	>0/9999			
  50:24h vs. 90:24h	5/172	-110/4 to 120/8	No	ns	>0/9999			
  50:24h vs. 90:48h	0/5570	-115/0 to 116/2	No	ns	>0/9999			
  50:24h vs. 90:72h	5/172	-110/4 to 120/8	No	ns	>0/9999			
  50:24h vs. 100:24h	5/172	-110/4 to 120/8	No	ns	>0/9999			
  50:24h vs. 100:48h	3/634	-112/0 to 119/2	No	ns	>0/9999			
  50:24h vs. 100:72h	5/172	-110/4 to 120/8	No	ns	>0/9999			
  50:48h vs. 50:72h	-7/014	-122/6 to 108/6	No	ns	>0/9999			
  50:48h vs. 60:24h	4/244	-111/4 to 119/8	No	ns	>0/9999			
  50:48h vs. 60:48h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  50:48h vs. 60:72h	-2/602	-118/2 to 113/0	No	ns	>0/9999			
  50:48h vs. 70:24h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  50:48h vs. 70:48h	3/077	-112/5 to 118/7	No	ns	>0/9999			
  50:48h vs. 70:72h	0/3394	-115/3 to 115/9	No	ns	>0/9999			
  50:48h vs. 80:24h	9/416	-106/2 to 125/0	No	ns	>0/9999			
  50:48h vs. 80:48h	1/538	-114/1 to 117/1	No	ns	>0/9999			
  50:48h vs. 80:72h	0/3394	-115/3 to 115/9	No	ns	>0/9999			
  50:48h vs. 90:24h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  50:48h vs. 90:48h	3/077	-112/5 to 118/7	No	ns	>0/9999			
  50:48h vs. 90:72h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  50:48h vs. 100:24h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  50:48h vs. 100:48h	6/154	-109/4 to 121/7	No	ns	>0/9999			
  50:48h vs. 100:72h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  50:72h vs. 60:24h	11/26	-104/3 to 126/9	No	ns	>0/9999			
  50:72h vs. 60:48h	7/014	-108/6 to 122/6	No	ns	>0/9999			
  50:72h vs. 60:72h	4/412	-111/2 to 120/0	No	ns	>0/9999			
  50:72h vs. 70:24h	14/71	-100/9 to 130/3	No	ns	>0/9999			
  50:72h vs. 70:48h	10/09	-105/5 to 125/7	No	ns	>0/9999			
  50:72h vs. 70:72h	7/353	-108/2 to 122/9	No	ns	>0/9999			
  50:72h vs. 80:24h	16/43	-99/16 to 132/0	No	ns	>0/9999			
  50:72h vs. 80:48h	8/552	-107/0 to 124/1	No	ns	>0/9999			
  50:72h vs. 80:72h	7/353	-108/2 to 122/9	No	ns	>0/9999			
  50:72h vs. 90:24h	14/71	-100/9 to 130/3	No	ns	>0/9999			
  50:72h vs. 90:48h	10/09	-105/5 to 125/7	No	ns	>0/9999			
  50:72h vs. 90:72h	14/71	-100/9 to 130/3	No	ns	>0/9999			
  50:72h vs. 100:24h	14/71	-100/9 to 130/3	No	ns	>0/9999			
  50:72h vs. 100:48h	13/17	-102/4 to 128/8	No	ns	>0/9999			
  50:72h vs. 100:72h	14/71	-100/9 to 130/3	No	ns	>0/9999			
  60:24h vs. 60:48h	-4/244	-119/8 to 111/4	No	ns	>0/9999			
  60:24h vs. 60:72h	-6/846	-122/4 to 108/7	No	ns	>0/9999			
  60:24h vs. 70:24h	3/448	-112/1 to 119/0	No	ns	>0/9999			
  60:24h vs. 70:48h	-1/167	-116/8 to 114/4	No	ns	>0/9999			
  60:24h vs. 70:72h	-3/905	-119/5 to 111/7	No	ns	>0/9999			
  60:24h vs. 80:24h	5/172	-110/4 to 120/8	No	ns	>0/9999			
  60:24h vs. 80:48h	-2/706	-118/3 to 112/9	No	ns	>0/9999			
  60:24h vs. 80:72h	-3/905	-119/5 to 111/7	No	ns	>0/9999			
  60:24h vs. 90:24h	3/448	-112/1 to 119/0	No	ns	>0/9999			
  60:24h vs. 90:48h	-1/167	-116/8 to 114/4	No	ns	>0/9999			
  60:24h vs. 90:72h	3/448	-112/1 to 119/0	No	ns	>0/9999			
  60:24h vs. 100:24h	3/448	-112/1 to 119/0	No	ns	>0/9999			
  60:24h vs. 100:48h	1/910	-113/7 to 117/5	No	ns	>0/9999			
  60:24h vs. 100:72h	3/448	-112/1 to 119/0	No	ns	>0/9999			
  60:48h vs. 60:72h	-2/602	-118/2 to 113/0	No	ns	>0/9999			
  60:48h vs. 70:24h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  60:48h vs. 70:48h	3/077	-112/5 to 118/7	No	ns	>0/9999			
  60:48h vs. 70:72h	0/3394	-115/3 to 115/9	No	ns	>0/9999			
  60:48h vs. 80:24h	9/416	-106/2 to 125/0	No	ns	>0/9999			
  60:48h vs. 80:48h	1/538	-114/1 to 117/1	No	ns	>0/9999			
  60:48h vs. 80:72h	0/3394	-115/3 to 115/9	No	ns	>0/9999			
  60:48h vs. 90:24h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  60:48h vs. 90:48h	3/077	-112/5 to 118/7	No	ns	>0/9999			
  60:48h vs. 90:72h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  60:48h vs. 100:24h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  60:48h vs. 100:48h	6/154	-109/4 to 121/7	No	ns	>0/9999			
  60:48h vs. 100:72h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  60:72h vs. 70:24h	10/29	-105/3 to 125/9	No	ns	>0/9999			
  60:72h vs. 70:48h	5/679	-109/9 to 121/3	No	ns	>0/9999			
  60:72h vs. 70:72h	2/941	-112/7 to 118/5	No	ns	>0/9999			
  60:72h vs. 80:24h	12/02	-103/6 to 127/6	No	ns	>0/9999			
  60:72h vs. 80:48h	4/140	-111/5 to 119/7	No	ns	>0/9999			
  60:72h vs. 80:72h	2/941	-112/7 to 118/5	No	ns	>0/9999			
  60:72h vs. 90:24h	10/29	-105/3 to 125/9	No	ns	>0/9999			
  60:72h vs. 90:48h	5/679	-109/9 to 121/3	No	ns	>0/9999			
  60:72h vs. 90:72h	10/29	-105/3 to 125/9	No	ns	>0/9999			
  60:72h vs. 100:24h	10/29	-105/3 to 125/9	No	ns	>0/9999			
  60:72h vs. 100:48h	8/756	-106/8 to 124/3	No	ns	>0/9999			
  60:72h vs. 100:72h	10/29	-105/3 to 125/9	No	ns	>0/9999			
  70:24h vs. 70:48h	-4/615	-120/2 to 111/0	No	ns	>0/9999			
  70:24h vs. 70:72h	-7/353	-122/9 to 108/2	No	ns	>0/9999			
  70:24h vs. 80:24h	1/724	-113/9 to 117/3	No	ns	>0/9999			
  70:24h vs. 80:48h	-6/154	-121/7 to 109/4	No	ns	>0/9999			
  70:24h vs. 80:72h	-7/353	-122/9 to 108/2	No	ns	>0/9999			
  70:24h vs. 90:24h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  70:24h vs. 90:48h	-4/615	-120/2 to 111/0	No	ns	>0/9999			
  70:24h vs. 90:72h	2/000e-005	-115/6 to 115/6	No	ns	>0/9999			
  70:24h vs. 100:24h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  70:24h vs. 100:48h	-1/538	-117/1 to 114/1	No	ns	>0/9999			
  70:24h vs. 100:72h	2/000e-005	-115/6 to 115/6	No	ns	>0/9999			
  70:48h vs. 70:72h	-2/738	-118/3 to 112/9	No	ns	>0/9999			
  70:48h vs. 80:24h	6/340	-109/3 to 121/9	No	ns	>0/9999			
  70:48h vs. 80:48h	-1/538	-117/1 to 114/1	No	ns	>0/9999			
  70:48h vs. 80:72h	-2/738	-118/3 to 112/9	No	ns	>0/9999			
  70:48h vs. 90:24h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  70:48h vs. 90:48h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  70:48h vs. 90:72h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  70:48h vs. 100:24h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  70:48h vs. 100:48h	3/077	-112/5 to 118/7	No	ns	>0/9999			
  70:48h vs. 100:72h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  70:72h vs. 80:24h	9/077	-106/5 to 124/7	No	ns	>0/9999			
  70:72h vs. 80:48h	1/199	-114/4 to 116/8	No	ns	>0/9999			
  70:72h vs. 80:72h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  70:72h vs. 90:24h	7/353	-108/2 to 122/9	No	ns	>0/9999			
  70:72h vs. 90:48h	2/738	-112/9 to 118/3	No	ns	>0/9999			
  70:72h vs. 90:72h	7/353	-108/2 to 122/9	No	ns	>0/9999			
  70:72h vs. 100:24h	7/353	-108/2 to 122/9	No	ns	>0/9999			
  70:72h vs. 100:48h	5/814	-109/8 to 121/4	No	ns	>0/9999			
  70:72h vs. 100:72h	7/353	-108/2 to 122/9	No	ns	>0/9999			
  80:24h vs. 80:48h	-7/878	-123/5 to 107/7	No	ns	>0/9999			
  80:24h vs. 80:72h	-9/077	-124/7 to 106/5	No	ns	>0/9999			
  80:24h vs. 90:24h	-1/724	-117/3 to 113/9	No	ns	>0/9999			
  80:24h vs. 90:48h	-6/340	-121/9 to 109/3	No	ns	>0/9999			
  80:24h vs. 90:72h	-1/724	-117/3 to 113/9	No	ns	>0/9999			
  80:24h vs. 100:24h	-1/724	-117/3 to 113/9	No	ns	>0/9999			
  80:24h vs. 100:48h	-3/263	-118/9 to 112/3	No	ns	>0/9999			
  80:24h vs. 100:72h	-1/724	-117/3 to 113/9	No	ns	>0/9999			
  80:48h vs. 80:72h	-1/199	-116/8 to 114/4	No	ns	>0/9999			
  80:48h vs. 90:24h	6/154	-109/4 to 121/7	No	ns	>0/9999			
  80:48h vs. 90:48h	1/538	-114/1 to 117/1	No	ns	>0/9999			
  80:48h vs. 90:72h	6/154	-109/4 to 121/7	No	ns	>0/9999			
  80:48h vs. 100:24h	6/154	-109/4 to 121/7	No	ns	>0/9999			
  80:48h vs. 100:48h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  80:48h vs. 100:72h	6/154	-109/4 to 121/7	No	ns	>0/9999			
  80:72h vs. 90:24h	7/353	-108/2 to 122/9	No	ns	>0/9999			
  80:72h vs. 90:48h	2/738	-112/9 to 118/3	No	ns	>0/9999			
  80:72h vs. 90:72h	7/353	-108/2 to 122/9	No	ns	>0/9999			
  80:72h vs. 100:24h	7/353	-108/2 to 122/9	No	ns	>0/9999			
  80:72h vs. 100:48h	5/814	-109/8 to 121/4	No	ns	>0/9999			
  80:72h vs. 100:72h	7/353	-108/2 to 122/9	No	ns	>0/9999			
  90:24h vs. 90:48h	-4/615	-120/2 to 111/0	No	ns	>0/9999			
  90:24h vs. 90:72h	2/000e-005	-115/6 to 115/6	No	ns	>0/9999			
  90:24h vs. 100:24h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  90:24h vs. 100:48h	-1/538	-117/1 to 114/1	No	ns	>0/9999			
  90:24h vs. 100:72h	2/000e-005	-115/6 to 115/6	No	ns	>0/9999			
  90:48h vs. 90:72h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  90:48h vs. 100:24h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  90:48h vs. 100:48h	3/077	-112/5 to 118/7	No	ns	>0/9999			
  90:48h vs. 100:72h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  90:72h vs. 100:24h	-2/000e-005	-115/6 to 115/6	No	ns	>0/9999			
  90:72h vs. 100:48h	-1/538	-117/1 to 114/1	No	ns	>0/9999			
  90:72h vs. 100:72h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  100:24h vs. 100:48h	-1/538	-117/1 to 114/1	No	ns	>0/9999			
  100:24h vs. 100:72h	2/000e-005	-115/6 to 115/6	No	ns	>0/9999			
  100:48h vs. 100:72h	1/538	-114/1 to 117/1	No	ns	>0/9999			
								
								
Test details	Mean 1	Mean 2	Mean Diff/	SE of diff/	N1	N2	q	DF
								
  0:24h vs. 0:48h	100/0	100/0	1/333e-005	29/11	3	3	6/478e-007	66/00
  0:24h vs. 0:72h	100/0	100/0	2/000e-005	29/11	3	3	9/717e-007	66/00
  0:24h vs. 10:24h	100/0	108/6	-8/621	29/11	3	3	0/4188	66/00
  0:24h vs. 10:48h	100/0	112/3	-12/31	29/11	3	3	0/5979	66/00
  0:24h vs. 10:72h	100/0	130/9	-30/88	29/11	3	3	1/500	66/00
  0:24h vs. 20:24h	100/0	105/2	-5/172	29/11	3	3	0/2513	66/00
  0:24h vs. 20:48h	100/0	112/3	-12/31	29/11	3	3	0/5979	66/00
  0:24h vs. 20:72h	100/0	127/9	-27/94	29/11	3	3	1/357	66/00
  0:24h vs. 30:24h	100/0	108/6	-8/621	29/11	3	3	0/4188	66/00
  0:24h vs. 30:48h	100/0	112/3	-12/31	29/11	3	3	0/5979	66/00
  0:24h vs. 30:72h	100/0	117/6	-17/65	29/11	3	3	0/8573	66/00
  0:24h vs. 40:24h	100/0	108/6	-8/621	29/11	3	3	0/4188	66/00
  0:24h vs. 40:48h	100/0	109/2	-9/231	29/11	3	3	0/4485	66/00
  0:24h vs. 40:72h	100/0	117/6	-17/65	29/11	3	3	0/8573	66/00
  0:24h vs. 50:24h	100/0	105/2	-5/172	29/11	3	3	0/2513	66/00
  0:24h vs. 50:48h	100/0	107/7	-7/692	29/11	3	3	0/3737	66/00
  0:24h vs. 50:72h	100/0	114/7	-14/71	29/11	3	3	0/7144	66/00
  0:24h vs. 60:24h	100/0	103/4	-3/448	29/11	3	3	0/1675	66/00
  0:24h vs. 60:48h	100/0	107/7	-7/692	29/11	3	3	0/3737	66/00
  0:24h vs. 60:72h	100/0	110/3	-10/29	29/11	3	3	0/5001	66/00
  0:24h vs. 70:24h	100/0	100/0	0/000	29/11	3	3	0/000	66/00
  0:24h vs. 70:48h	100/0	104/6	-4/615	29/11	3	3	0/2242	66/00
  0:24h vs. 70:72h	100/0	107/4	-7/353	29/11	3	3	0/3572	66/00
  0:24h vs. 80:24h	100/0	98/28	1/724	29/11	3	3	0/08376	66/00
  0:24h vs. 80:48h	100/0	106/2	-6/154	29/11	3	3	0/2990	66/00
  0:24h vs. 80:72h	100/0	107/4	-7/353	29/11	3	3	0/3572	66/00
  0:24h vs. 90:24h	100/0	100/0	0/000	29/11	3	3	0/000	66/00
  0:24h vs. 90:48h	100/0	104/6	-4/615	29/11	3	3	0/2242	66/00
  0:24h vs. 90:72h	100/0	100/0	2/000e-005	29/11	3	3	9/717e-007	66/00
  0:24h vs. 100:24h	100/0	100/0	0/000	29/11	3	3	0/000	66/00
  0:24h vs. 100:48h	100/0	101/5	-1/538	29/11	3	3	0/07474	66/00
  0:24h vs. 100:72h	100/0	100/0	2/000e-005	29/11	3	3	9/717e-007	66/00
  0:48h vs. 0:72h	100/0	100/0	6/667e-006	29/11	3	3	3/239e-007	66/00
  0:48h vs. 10:24h	100/0	108/6	-8/621	29/11	3	3	0/4188	66/00
  0:48h vs. 10:48h	100/0	112/3	-12/31	29/11	3	3	0/5979	66/00
  0:48h vs. 10:72h	100/0	130/9	-30/88	29/11	3	3	1/500	66/00
  0:48h vs. 20:24h	100/0	105/2	-5/172	29/11	3	3	0/2513	66/00
  0:48h vs. 20:48h	100/0	112/3	-12/31	29/11	3	3	0/5979	66/00
  0:48h vs. 20:72h	100/0	127/9	-27/94	29/11	3	3	1/357	66/00
  0:48h vs. 30:24h	100/0	108/6	-8/621	29/11	3	3	0/4188	66/00
  0:48h vs. 30:48h	100/0	112/3	-12/31	29/11	3	3	0/5979	66/00
  0:48h vs. 30:72h	100/0	117/6	-17/65	29/11	3	3	0/8573	66/00
  0:48h vs. 40:24h	100/0	108/6	-8/621	29/11	3	3	0/4188	66/00
  0:48h vs. 40:48h	100/0	109/2	-9/231	29/11	3	3	0/4485	66/00
  0:48h vs. 40:72h	100/0	117/6	-17/65	29/11	3	3	0/8573	66/00
  0:48h vs. 50:24h	100/0	105/2	-5/172	29/11	3	3	0/2513	66/00
  0:48h vs. 50:48h	100/0	107/7	-7/692	29/11	3	3	0/3737	66/00
  0:48h vs. 50:72h	100/0	114/7	-14/71	29/11	3	3	0/7144	66/00
  0:48h vs. 60:24h	100/0	103/4	-3/448	29/11	3	3	0/1675	66/00
  0:48h vs. 60:48h	100/0	107/7	-7/692	29/11	3	3	0/3737	66/00
  0:48h vs. 60:72h	100/0	110/3	-10/29	29/11	3	3	0/5001	66/00
  0:48h vs. 70:24h	100/0	100/0	-1/333e-005	29/11	3	3	6/478e-007	66/00
  0:48h vs. 70:48h	100/0	104/6	-4/615	29/11	3	3	0/2242	66/00
  0:48h vs. 70:72h	100/0	107/4	-7/353	29/11	3	3	0/3572	66/00
  0:48h vs. 80:24h	100/0	98/28	1/724	29/11	3	3	0/08376	66/00
  0:48h vs. 80:48h	100/0	106/2	-6/154	29/11	3	3	0/2990	66/00
  0:48h vs. 80:72h	100/0	107/4	-7/353	29/11	3	3	0/3572	66/00
  0:48h vs. 90:24h	100/0	100/0	-1/333e-005	29/11	3	3	6/478e-007	66/00
  0:48h vs. 90:48h	100/0	104/6	-4/615	29/11	3	3	0/2242	66/00
  0:48h vs. 90:72h	100/0	100/0	6/667e-006	29/11	3	3	3/239e-007	66/00
  0:48h vs. 100:24h	100/0	100/0	-1/333e-005	29/11	3	3	6/478e-007	66/00
  0:48h vs. 100:48h	100/0	101/5	-1/538	29/11	3	3	0/07474	66/00
  0:48h vs. 100:72h	100/0	100/0	6/667e-006	29/11	3	3	3/239e-007	66/00
  0:72h vs. 10:24h	100/0	108/6	-8/621	29/11	3	3	0/4188	66/00
  0:72h vs. 10:48h	100/0	112/3	-12/31	29/11	3	3	0/5979	66/00
  0:72h vs. 10:72h	100/0	130/9	-30/88	29/11	3	3	1/500	66/00
  0:72h vs. 20:24h	100/0	105/2	-5/172	29/11	3	3	0/2513	66/00
  0:72h vs. 20:48h	100/0	112/3	-12/31	29/11	3	3	0/5979	66/00
  0:72h vs. 20:72h	100/0	127/9	-27/94	29/11	3	3	1/357	66/00
  0:72h vs. 30:24h	100/0	108/6	-8/621	29/11	3	3	0/4188	66/00
  0:72h vs. 30:48h	100/0	112/3	-12/31	29/11	3	3	0/5979	66/00
  0:72h vs. 30:72h	100/0	117/6	-17/65	29/11	3	3	0/8573	66/00
  0:72h vs. 40:24h	100/0	108/6	-8/621	29/11	3	3	0/4188	66/00
  0:72h vs. 40:48h	100/0	109/2	-9/231	29/11	3	3	0/4485	66/00
  0:72h vs. 40:72h	100/0	117/6	-17/65	29/11	3	3	0/8573	66/00
  0:72h vs. 50:24h	100/0	105/2	-5/172	29/11	3	3	0/2513	66/00
  0:72h vs. 50:48h	100/0	107/7	-7/692	29/11	3	3	0/3737	66/00
  0:72h vs. 50:72h	100/0	114/7	-14/71	29/11	3	3	0/7144	66/00
  0:72h vs. 60:24h	100/0	103/4	-3/448	29/11	3	3	0/1675	66/00
  0:72h vs. 60:48h	100/0	107/7	-7/692	29/11	3	3	0/3737	66/00
  0:72h vs. 60:72h	100/0	110/3	-10/29	29/11	3	3	0/5001	66/00
  0:72h vs. 70:24h	100/0	100/0	-2/000e-005	29/11	3	3	9/717e-007	66/00
  0:72h vs. 70:48h	100/0	104/6	-4/615	29/11	3	3	0/2242	66/00
  0:72h vs. 70:72h	100/0	107/4	-7/353	29/11	3	3	0/3572	66/00
  0:72h vs. 80:24h	100/0	98/28	1/724	29/11	3	3	0/08376	66/00
  0:72h vs. 80:48h	100/0	106/2	-6/154	29/11	3	3	0/2990	66/00
  0:72h vs. 80:72h	100/0	107/4	-7/353	29/11	3	3	0/3572	66/00
  0:72h vs. 90:24h	100/0	100/0	-2/000e-005	29/11	3	3	9/717e-007	66/00
  0:72h vs. 90:48h	100/0	104/6	-4/615	29/11	3	3	0/2242	66/00
  0:72h vs. 90:72h	100/0	100/0	0/000	29/11	3	3	0/000	66/00
  0:72h vs. 100:24h	100/0	100/0	-2/000e-005	29/11	3	3	9/717e-007	66/00
  0:72h vs. 100:48h	100/0	101/5	-1/538	29/11	3	3	0/07474	66/00
  0:72h vs. 100:72h	100/0	100/0	0/000	29/11	3	3	0/000	66/00
  10:24h vs. 10:48h	108/6	112/3	-3/687	29/11	3	3	0/1791	66/00
  10:24h vs. 10:72h	108/6	130/9	-22/26	29/11	3	3	1/082	66/00
  10:24h vs. 20:24h	108/6	105/2	3/448	29/11	3	3	0/1675	66/00
  10:24h vs. 20:48h	108/6	112/3	-3/687	29/11	3	3	0/1791	66/00
  10:24h vs. 20:72h	108/6	127/9	-19/32	29/11	3	3	0/9386	66/00
  10:24h vs. 30:24h	108/6	108/6	0/000	29/11	3	3	0/000	66/00
  10:24h vs. 30:48h	108/6	112/3	-3/687	29/11	3	3	0/1791	66/00
  10:24h vs. 30:72h	108/6	117/6	-9/026	29/11	3	3	0/4385	66/00
  10:24h vs. 40:24h	108/6	108/6	0/000	29/11	3	3	0/000	66/00
  10:24h vs. 40:48h	108/6	109/2	-0/6101	29/11	3	3	0/02964	66/00
  10:24h vs. 40:72h	108/6	117/6	-9/026	29/11	3	3	0/4385	66/00
  10:24h vs. 50:24h	108/6	105/2	3/448	29/11	3	3	0/1675	66/00
  10:24h vs. 50:48h	108/6	107/7	0/9284	29/11	3	3	0/04510	66/00
  10:24h vs. 50:72h	108/6	114/7	-6/085	29/11	3	3	0/2956	66/00
  10:24h vs. 60:24h	108/6	103/4	5/172	29/11	3	3	0/2513	66/00
  10:24h vs. 60:48h	108/6	107/7	0/9284	29/11	3	3	0/04510	66/00
  10:24h vs. 60:72h	108/6	110/3	-1/673	29/11	3	3	0/08130	66/00
  10:24h vs. 70:24h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
  10:24h vs. 70:48h	108/6	104/6	4/005	29/11	3	3	0/1946	66/00
  10:24h vs. 70:72h	108/6	107/4	1/268	29/11	3	3	0/06159	66/00
  10:24h vs. 80:24h	108/6	98/28	10/34	29/11	3	3	0/5026	66/00
  10:24h vs. 80:48h	108/6	106/2	2/467	29/11	3	3	0/1198	66/00
  10:24h vs. 80:72h	108/6	107/4	1/268	29/11	3	3	0/06159	66/00
  10:24h vs. 90:24h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
  10:24h vs. 90:48h	108/6	104/6	4/005	29/11	3	3	0/1946	66/00
  10:24h vs. 90:72h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
